# BEAST v1.8.2, r6687
# Generated Mon Aug 17 12:27:56 EEST 2015 [seed=1439803657804]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	coalescent
59000	-1608221.0249775862	-98.5492522073058	-1608122.4757253788	19.977967369638424	3.4037073280639154	4.184260043124012	0.31309337419831695	0.16777521255677258	0.22871071082396638	0.2904207024209441	0.04434898373691993	4.472839863129089E-5	-1608122.4757253788	-102.23755805298507
60000	-1607721.3774821653	-60.97197618219846	-1607660.4055059832	9.033399011959688	1.8864894065659141	4.544018062324906	0.31309337419831695	0.16777521255677258	0.22756063741627613	0.29157077582863433	0.04434898373691993	1.009774738061588E-4	-1607660.4055059832	-63.74373941005253
61000	-1605304.718696258	-65.95477347390043	-1605238.7639227842	10.517241764313015	1.9793564287430563	4.493327107780427	0.31309337419831695	0.16777521255677258	0.22092979119116582	0.2982016220537446	0.04434898373691993	9.032820785697484E-5	-1605238.7639227842	-68.96746900297634
62000	-1605308.6851714011	-76.30619504802571	-1605232.3789763532	12.93295642806499	1.7353573899425097	4.493327107780427	0.31309337419831695	0.16777521255677258	0.22092979119116582	0.2982016220537446	0.03817887963047849	7.39275827676377E-5	-1605232.3789763532	-80.06245256378939
63000	-1603038.3312562373	-66.60541637092506	-1602971.7258398663	11.149460349902208	1.919049973152043	4.493327107780427	0.31913884800876463	0.16777521255677258	0.21488431738071814	0.2982016220537446	0.03817887963047849	8.296362415680923E-5	-1602971.7258398663	-69.90702698268973
64000	-1603064.0719726256	-100.059810981565	-1602964.012161644	21.58883074745611	3.454040846479201	4.493327107780427	0.31913884800876463	0.16777521255677258	0.21488431738071814	0.2982016220537446	0.05975764031735138	4.1084201279726774E-5	-1602964.012161644	-103.75706289878455
65000	-1601603.851420823	-83.16933434369422	-1601520.6820864794	15.406893719571594	2.3474311413335167	4.493327107780427	0.31913884800876463	0.16777521255677258	0.20983873839462278	0.30324720103984	0.05975764031735138	5.8878706450095215E-5	-1601520.6820864794	-86.90845131599468
66000	-1600967.369904262	-115.75172632994682	-1600851.618177932	31.6749241449851	5.404943017904887	4.493327107780427	0.31913884800876463	0.15844798932491902	0.21916596162647634	0.30324720103984	0.058513801360023765	2.820705956224486E-5	-1600851.618177932	-118.99225117871171
67000	-1600950.3280419505	-122.49858576995194	-1600827.8294561806	34.488476839237094	7.25548056776601	4.493327107780427	0.31913884800876463	0.15479820581638926	0.2228157451350061	0.30324720103984	0.0525354410032266	2.5419274717974804E-5	-1600827.8294561806	-125.06964367455694
68000	-1600759.1049040004	-122.46516307558942	-1600636.6397409248	36.154084694193955	6.379731227870738	4.493327107780427	0.32683283318981043	0.15479820581638926	0.2228157451350061	0.2955532158587942	0.06559238265437417	2.5157304652106476E-5	-1600636.6397409248	-125.40003768152731
69000	-1600602.0547185794	-155.5263652119782	-1600446.5283533675	74.75914145890452	12.828518811859006	4.493327107780427	0.32737331181086426	0.1542577271953354	0.2228157451350061	0.2955532158587942	0.0754203444311385	1.2002140052627644E-5	-1600446.5283533675	-156.9739396550247
70000	-1600585.8426622418	-138.76592454648474	-1600447.0767376954	51.58443895573194	10.347436742162229	4.493327107780427	0.32737331181086426	0.1542577271953354	0.2228157451350061	0.2955532158587942	0.0754203444311385	1.720043605317509E-5	-1600447.0767376954	-140.64807632299815
71000	-1600572.9906533384	-119.17949943176444	-1600453.8111539066	32.7918049591296	5.373981095918315	4.493327107780427	0.32737331181086426	0.1542577271953354	0.2228157451350061	0.2955532158587942	0.0754203444311385	2.7156583584920936E-5	-1600453.8111539066	-122.45875525701136
